,p1_name,p1_games_won,p1_aces,p1_double_faults,p1_first_serves_in,p1_first_serve_points_won,p1_second_serve_points_won,p2_name,p2_games_won,p2_aces,p2_double_faults,p2_first_serves_in,p2_first_serve_points_won,p2_second_serve_points_won,p1_sets_won,p2_sets_won,p1_ranking_points,p2_ranking_points,y
3946,Matteo Berrettini,6,21,0.0,0.27549999999999997,0.353,0.186,Andy Murray,6,9,0.0033333333333333335,0.2840416666666667,0.29375,0.2909583333333333,2,2,2490,770,1
4018,Mattia Bellucci,6,1,0.0,0.696,0.875,0.857,Benjamin Bonzi,4,6,0.045,0.5,0.727,0.455,1,0,374,911,1
4090,Mattia Bellucci,3,4,0.02,0.628,0.723,0.6105,Benjamin Bonzi,6,8,0.0225,0.5985,0.6679999999999999,0.5275,1,1,374,911,1
4162,Mattia Bellucci,6,6,0.043000000000000003,0.39033333333333337,0.5343333333333333,0.34650000000000003,Benjamin Bonzi,6,11,0.014833333333333332,0.4095,0.4756666666666667,0.3915,1,2,374,911,1
4234,Nicolas Jarry,6,3,0.0,0.731,0.789,0.714,Miomir Kecmanovic,3,0,0.0,0.536,0.733,0.385,1,0,370,1445,0
4306,Nicolas Jarry,6,12,0.0,0.735,0.865,0.6905,Miomir Kecmanovic,4,0,0.019,0.5755,0.679,0.5925,2,0,370,1445,0
4378,Roberto Carballes Baena,3,2,0.04,0.56,0.786,0.273,Novak Djokovic,6,2,0.036,0.643,0.833,0.6,0,1,695,5070,1
4450,Roberto Carballes Baena,4,4,0.02,0.5035000000000001,0.7755000000000001,0.3745,Novak Djokovic,6,5,0.018,0.632,0.833,0.618,0,2,695,5070,1
4522,Taylor Fritz,6,4,0.032,0.484,0.667,0.625,Nikoloz Basilashvili,4,0,0.087,0.565,0.692,0.4,1,0,3545,595,0
4594,Taylor Fritz,6,14,0.016,0.631,0.798,0.6875,Nikoloz Basilashvili,2,1,0.095,0.5065,0.6535,0.41900000000000004,2,0,3545,595,0
4666,Taylor Fritz,4,20,0.018666666666666668,0.41033333333333327,0.5326666666666667,0.3625,Nikoloz Basilashvili,6,6,0.05833333333333333,0.3821666666666667,0.5305,0.325,2,1,3545,595,0
4738,Tomas Machac,3,1,0.0,0.739,0.824,0.167,Casper Ruud,6,3,0.08,0.6,0.867,0.778,0,1,512,5720,1
4810,Tomas Machac,6,6,0.0,0.6925,0.7505,0.319,Casper Ruud,6,7,0.04,0.6074999999999999,0.725,0.7555000000000001,0,2,512,5720,1
4882,Tomas Machac,6,9,0.007,0.44616666666666666,0.5081666666666667,0.26333333333333336,Casper Ruud,6,9,0.022333333333333334,0.4008333333333333,0.484,0.4741666666666667,1,2,512,5720,1
