TOURNAMENT INFORMATION,,,,,,,,,,MATCH INFORMATION,,,,,,,,,,,STATS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATASET,TOURNAMENT ID,TOURNAMENT NAME,TOURNAMENT YEAR,TOURNAMENT START DATE,GENDER,TOURNAMENT SIZE,SURFACE,GROUND,BEST OF,MATCH ID,MATCH DATE,ROUND,MATCH STATUS,PLAYER NUM,PLAYER ID,PLAYER NAME,PLAYER RANK,MONEYLINE US,SET,SET NUMBER,PLAYER WINNER NUM,RESULT,SERVICE GAMES WON,SERVICE GAMES,% OF SERVICE GAMES WON ,RETURN GAMES WON,RETURN GAMES,% OF RETURN GAMES WON ,TOTAL GAMES WON,TOTAL GAMES,% OF TOTAL GAMES WON ,ACES,ACE %,DOUBLE FAULTS,DOUBLE FAULT %,SERVICE POINTS,SERVICE POINTS WON,% OF SERVICE POINTS WON,RETURN POINTS WON,RETURN POINTS,% OF RETURN POINTS WON,TOTAL POINTS WON,TOTAL POINTS,% OF TOTAL POINTS WON,% OF FIRST SERVICES IN,FIRST SERVICE POINTS WON,FIRST SERVICES IN,% OF FIRST SERVICE POINTS WON,SECOND SERVICE POINTS WON,SECOND SERVICES IN,% OF SECOND SERVICE POINTS WON,BREAK POINTS SAVED,BREAK POINTS ALLOWED,% OF BREAK POINTS SAVED,BREAK POINTS WON,BREAK POINTS CREATED,% OF BREAK POINTS WON,FIRST RETURN POINTS WON,FIRST RETURN POINTS,% OF FIRST RETURN POINTS WON,SECOND RETURN POINTS WON,SECOND RETURN POINTS,% OF SECOND RETURN POINTS WON,MAX GAMES WON IN ROW,MAX POINTS WON IN ROW
Tennis Stats 2023 ATP Season,2023-205,United Cup,2023,12/29/2022,m,39,Hard,Outdoor,3,2023-205-009,12/30/2022,,Retired,2,200466,Tomas Machac,97,,set 1,1,1,LOSE,3,4,0.750,0,5,0.000,3,9,0.333,3,0.097,3,0.097,31,18,0.581,9,32,0.281,27,63,0.429,0.613,15,19,0.789,3,12,0.250,3,4,0.750,0,1,0.000,4,19,0.211,5,13,0.385,,
Tennis Stats 2023 ATP Season,2023-205,United Cup,2023,12/29/2022,m,39,Hard,Outdoor,3,2023-205-009,12/30/2022,,Retired,1,200137,Frances Tiafoe,19,,set 2,2,2,LOSE,1,3,0.333,1,3,0.333,2,6,0.333,1,0.043,1,0.043,23,11,0.478,13,28,0.464,24,51,0.471,0.739,9,17,0.529,2,6,0.333,1,3,0.333,1,2,0.500,6,18,0.333,7,10,0.700,,
Tennis Stats 2023 ATP Season,2023-205,United Cup,2023,12/29/2022,m,39,Hard,Outdoor,3,2023-205-009,12/30/2022,,Retired,2,200466,Tomas Machac,97,,set 2,2,2,WIN,2,3,0.667,2,3,0.667,4,6,0.667,3,0.107,2,0.071,28,15,0.536,12,23,0.522,27,51,0.529,0.643,12,18,0.667,3,10,0.300,1,2,0.500,2,3,0.667,8,17,0.471,4,6,0.667,,
Tennis Stats 2023 ATP Season,2023-205,United Cup,2023,12/29/2022,m,39,Hard,Outdoor,3,2023-205-010,12/30/2022,,Finished,1,200315,Jason Kubler,107,,set 1,1,1,WIN,5,5,1.000,1,4,0.250,6,9,0.667,5,0.161,1,0.032,31,22,0.710,7,21,0.333,29,52,0.558,0.581,15,18,0.833,7,13,0.538,1,1,1.000,1,1,1.000,2,11,0.182,5,10,0.500,,
Tennis Stats 2023 ATP Season,2023-205,United Cup,2023,12/29/2022,m,39,Hard,Outdoor,3,2023-205-010,12/30/2022,,Finished,2,200013,Daniel Evans,27,,set 1,1,1,LOSE,3,4,0.750,0,5,0.000,3,9,0.333,2,0.095,1,0.048,21,14,0.667,9,31,0.290,23,52,0.442,0.524,9,11,0.818,5,10,0.500,0,1,0.000,0,1,0.000,3,18,0.167,6,13,0.462,,
Tennis Stats 2023 ATP Season,2023-205,United Cup,2023,12/29/2022,m,39,Hard,Outdoor,3,2023-205-010,12/30/2022,,Finished,1,200315,Jason Kubler,107,,set 2,2,1,WIN,4,6,0.667,2,6,0.333,6,12,0.500,6,0.167,0,0.000,36,23,0.639,18,43,0.419,41,79,0.519,0.667,15,24,0.625,8,12,0.667,1,3,0.333,2,3,0.667,8,25,0.320,10,18,0.556,,
Tennis Stats 2023 ATP Season,2023-205,United Cup,2023,12/29/2022,m,39,Hard,Outdoor,3,2023-205-010,12/30/2022,,Finished,2,200013,Daniel Evans,27,,set 2,2,1,LOSE,4,6,0.667,2,6,0.333,6,12,0.500,1,0.023,1,0.023,43,25,0.581,13,36,0.361,38,79,0.481,0.581,17,25,0.680,8,18,0.444,1,3,0.333,2,3,0.667,9,24,0.375,4,12,0.333,,
Tennis Stats 2023 ATP Season,2023-205,United Cup,2023,12/29/2022,m,39,Hard,Outdoor,3,2023-205-011,12/30/2022,,Finished,1,200227,Matteo Berrettini,16,,set 1,1,1,WIN,5,5,1.000,1,5,0.200,6,10,0.600,3,0.143,0,0.000,21,20,0.952,9,28,0.321,29,49,0.592,0.619,13,13,1.000,7,8,0.875,0,0,0.000,1,2,0.500,5,17,0.294,4,11,0.364,,
Tennis Stats 2023 ATP Season,2023-205,United Cup,2023,12/29/2022,m,39,Hard,Outdoor,3,2023-205-011,12/30/2022,,Finished,2,200045,Thiago Monteiro,71,,set 1,1,1,LOSE,4,5,0.800,0,5,0.000,4,10,0.400,2,0.071,0,0.000,28,19,0.679,1,21,0.048,20,49,0.408,0.607,12,17,0.706,7,11,0.636,1,2,0.500,0,0,0.000,0,13,0.000,1,8,0.125,,
Tennis Stats 2023 ATP Season,2023-205,United Cup,2023,12/29/2022,m,39,Hard,Outdoor,3,2023-205-011,12/30/2022,,Finished,1,200227,Matteo Berrettini,16,,set 2,2,1,WIN,6,6,1.000,0,6,0.000,6,12,0.500,12,0.279,1,0.023,43,32,0.744,12,44,0.273,44,87,0.506,0.698,25,30,0.833,7,13,0.538,0,0,0.000,0,0,0.000,7,26,0.269,5,18,0.278,,
Tennis Stats 2023 ATP Season,2023-205,United Cup,2023,12/29/2022,m,39,Hard,Outdoor,3,2023-205-011,12/30/2022,,Finished,2,200045,Thiago Monteiro,71,,set 2,2,1,LOSE,6,6,1.000,0,6,0.000,6,12,0.500,2,0.045,2,0.045,44,32,0.727,11,43,0.256,43,87,0.494,0.591,19,26,0.731,13,18,0.722,0,0,0.000,0,0,0.000,5,30,0.167,6,13,0.462,,
