TOURNAMENT INFORMATION,,,,,,,,,,MATCH INFORMATION,,,,,,,,,,,STATS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATASET,TOURNAMENT ID,TOURNAMENT NAME,TOURNAMENT YEAR,TOURNAMENT START DATE,GENDER,TOURNAMENT SIZE,SURFACE,GROUND,BEST OF,MATCH ID,MATCH DATE,ROUND,MATCH STATUS,PLAYER NUM,PLAYER ID,PLAYER NAME,PLAYER RANK,MONEYLINE US,SET,SET NUMBER,PLAYER WINNER NUM,RESULT,SERVICE GAMES WON,SERVICE GAMES,% OF SERVICE GAMES WON ,RETURN GAMES WON,RETURN GAMES,% OF RETURN GAMES WON ,TOTAL GAMES WON,TOTAL GAMES,% OF TOTAL GAMES WON ,ACES,ACE %,DOUBLE FAULTS,DOUBLE FAULT %,SERVICE POINTS,SERVICE POINTS WON,% OF SERVICE POINTS WON,RETURN POINTS WON,RETURN POINTS,% OF RETURN POINTS WON,TOTAL POINTS WON,TOTAL POINTS,% OF TOTAL POINTS WON,% OF FIRST SERVICES IN,FIRST SERVICE POINTS WON,FIRST SERVICES IN,% OF FIRST SERVICE POINTS WON,SECOND SERVICE POINTS WON,SECOND SERVICES IN,% OF SECOND SERVICE POINTS WON,BREAK POINTS SAVED,BREAK POINTS ALLOWED,% OF BREAK POINTS SAVED,BREAK POINTS WON,BREAK POINTS CREATED,% OF BREAK POINTS WON,FIRST RETURN POINTS WON,FIRST RETURN POINTS,% OF FIRST RETURN POINTS WON,SECOND RETURN POINTS WON,SECOND RETURN POINTS,% OF SECOND RETURN POINTS WON,MAX GAMES WON IN ROW,MAX POINTS WON IN ROW
Tennis Stats 2023 ATP Season,2023-205,United Cup,2023,12/29/2022,m,39,Hard,Outdoor,3,2023-205-016,12/31/2022,,Finished,2,200024,Grigor Dimitrov,28,-239,match,0,2,WIN,9,11,0.818,4,11,0.364,13,22,0.591,10,0.139,7,0.097,72,47,0.653,26,64,0.406,73,136,0.537,0.667,38,48,0.792,9,24,0.375,6,8,0.75,4,7,0.571,11,33,0.333,15,31,0.484,3,6
Tennis Stats 2023 ATP Season,2023-205,United Cup,2023,12/29/2022,m,39,Hard,Outdoor,3,2023-205-017,12/31/2022,,Finished,1,200432,Felipe Meligeni Alves,166,-140,match,0,1,WIN,9,9,1,3,9,0.333,12,18,0.667,5,0.085,0,0,59,42,0.712,34,73,0.466,76,132,0.576,0.695,31,41,0.756,11,18,0.611,1,1,1,3,6,0.5,13,41,0.317,21,32,0.656,5,9
Tennis Stats 2023 ATP Season,2023-205,United Cup,2023,12/29/2022,m,39,Hard,Outdoor,3,2023-205-017,12/31/2022,,Finished,2,200415,Viktor Durasovic,343,110,match,0,1,LOSE,6,9,0.667,0,9,0,6,18,0.333,11,0.151,5,0.068,73,39,0.534,17,59,0.288,56,132,0.424,0.562,28,41,0.683,11,32,0.344,3,6,0.5,0,1,0,10,41,0.244,7,18,0.389,1,4
Tennis Stats 2023 ATP Season,2023-205,United Cup,2023,12/29/2022,m,39,Hard,Outdoor,3,2023-205-018,12/31/2022,,Finished,1,200077,Rafael Nadal,2,-219,match,0,2,LOSE,12,14,0.857,1,14,0.071,13,28,0.464,10,0.105,4,0.042,95,61,0.642,28,88,0.318,89,183,0.486,0.579,40,55,0.727,21,40,0.525,9,11,0.818,1,6,0.167,15,57,0.263,13,31,0.419,3,5
Tennis Stats 2023 ATP Season,2023-205,United Cup,2023,12/29/2022,m,39,Hard,Outdoor,3,2023-205-018,12/31/2022,,Finished,2,200247,Cameron Norrie,14,166,match,0,2,WIN,13,14,0.929,2,14,0.143,15,28,0.536,6,0.068,2,0.023,88,60,0.682,34,95,0.358,94,183,0.514,0.648,42,57,0.737,18,31,0.581,5,6,0.833,2,11,0.182,15,55,0.273,19,40,0.475,3,7
Tennis Stats 2023 ATP Season,2023-205,United Cup,2023,12/29/2022,m,39,Hard,Outdoor,3,2023-205-019,01/01/2023,,Finished,1,200089,Albert Ramos-Vinolas,39,262,match,0,2,LOSE,9,12,0.75,3,13,0.231,12,25,0.48,3,0.037,3,0.037,82,46,0.561,26,73,0.356,72,155,0.465,0.598,32,49,0.653,14,33,0.424,4,7,0.571,3,5,0.6,9,41,0.22,17,32,0.531,5,4
Tennis Stats 2023 ATP Season,2023-205,United Cup,2023,12/29/2022,m,39,Hard,Outdoor,3,2023-205-019,01/01/2023,,Finished,2,200013,Daniel Evans,27,-364,match,0,2,WIN,10,13,0.769,3,12,0.25,13,25,0.52,5,0.068,1,0.014,73,47,0.644,36,82,0.439,83,155,0.535,0.562,32,41,0.78,15,32,0.469,2,5,0.4,3,7,0.429,17,49,0.347,19,33,0.576,3,7
Tennis Stats 2023 ATP Season,2023-205,United Cup,2023,12/29/2022,m,39,Hard,Outdoor,3,2023-205-020,01/01/2023,,Finished,1,200368,Borna Gojo,144,-293,match,0,1,WIN,11,11,1,1,11,0.091,12,22,0.545,6,0.091,3,0.045,66,47,0.712,29,81,0.358,76,147,0.517,0.712,37,47,0.787,10,19,0.526,0,0,0,1,4,0.25,13,50,0.26,16,31,0.516,3,8
Tennis Stats 2023 ATP Season,2023-205,United Cup,2023,12/29/2022,m,39,Hard,Outdoor,3,2023-205-020,01/01/2023,,Finished,2,200343,Federico Coria,75,218,match,0,1,LOSE,10,11,0.909,0,11,0,10,22,0.455,0,0,0,0,81,52,0.642,19,66,0.288,71,147,0.483,0.617,37,50,0.74,15,31,0.484,3,4,0.75,0,0,0,10,47,0.213,9,19,0.474,1,5
Tennis Stats 2023 ATP Season,2023-205,United Cup,2023,12/29/2022,m,39,Hard,Outdoor,3,2023-205-021,01/01/2023,,Finished,1,200339,Hubert Hurkacz,10,-300,match,0,1,WIN,15,16,0.938,1,15,0.067,16,31,0.516,18,0.191,4,0.043,94,72,0.766,31,104,0.298,103,198,0.52,0.617,52,58,0.897,20,36,0.556,3,4,0.75,1,4,0.25,12,62,0.194,19,42,0.452,3,6
Tennis Stats 2023 ATP Season,2023-205,United Cup,2023,12/29/2022,m,39,Hard,Outdoor,3,2023-205-021,01/01/2023,,Finished,2,200116,Alexander Bublik,37,226,match,0,1,LOSE,14,15,0.933,1,16,0.062,15,31,0.484,15,0.144,8,0.077,104,73,0.702,22,94,0.234,95,198,0.48,0.596,50,62,0.806,23,42,0.548,3,4,0.75,1,4,0.25,6,58,0.103,16,36,0.444,2,5
Tennis Stats 2023 ATP Season,2023-205,United Cup,2023,12/29/2022,m,39,Hard,Outdoor,3,2023-205-022,01/01/2023,,Finished,1,200349,Oscar Otte,76,-238,match,0,1,WIN,6,10,0.6,6,10,0.6,12,20,0.6,7,0.104,2,0.03,67,38,0.567,39,73,0.534,77,140,0.55,0.522,23,35,0.657,15,32,0.469,6,10,0.6,6,7,0.857,22,46,0.478,17,27,0.63,4,6
Tennis Stats 2023 ATP Season,2023-205,United Cup,2023,12/29/2022,m,39,Hard,Outdoor,3,2023-205-022,01/01/2023,,Finished,2,201144,Dalibor Svrcina,222,178,match,0,1,LOSE,4,10,0.4,4,10,0.4,8,20,0.4,0,0,2,0.027,73,34,0.466,29,67,0.433,63,140,0.45,0.63,24,46,0.522,10,27,0.37,1,7,0.143,4,10,0.4,12,35,0.343,17,32,0.531,3,4
Tennis Stats 2023 ATP Season,2023-205,United Cup,2023,12/29/2022,m,39,Hard,Outdoor,3,2023-205-023,01/01/2023,,Finished,1,200045,Thiago Monteiro,71,478,match,0,2,LOSE,3,8,0.375,2,9,0.222,5,17,0.294,2,0.049,5,0.122,41,19,0.463,17,49,0.347,36,90,0.4,0.659,16,27,0.593,3,14,0.214,1,6,0.167,2,4,0.5,12,36,0.333,5,13,0.385,2,6
Tennis Stats 2023 ATP Season,2023-205,United Cup,2023,12/29/2022,m,39,Hard,Outdoor,3,2023-205-023,01/01/2023,,Finished,2,200054,Casper Ruud,3,-779,match,0,2,WIN,7,9,0.778,5,8,0.625,12,17,0.706,8,0.163,1,0.02,49,32,0.653,22,41,0.537,54,90,0.6,0.735,24,36,0.667,8,13,0.615,2,4,0.5,5,6,0.833,11,27,0.407,11,14,0.786,6,6
Tennis Stats 2023 ATP Season,2023-205,United Cup,2023,12/29/2022,m,39,Hard,Outdoor,3,2023-205-024,01/01/2023,,Finished,1,200473,Zizou Bergs,129,-149,match,0,2,LOSE,2,7,0.286,0,7,0,2,14,0.143,4,0.071,4,0.071,56,24,0.429,15,48,0.312,39,104,0.375,0.554,13,31,0.419,11,25,0.44,2,7,0.286,0,3,0,12,33,0.364,3,15,0.2,1,4
Tennis Stats 2023 ATP Season,2023-205,United Cup,2023,12/29/2022,m,39,Hard,Outdoor,3,2023-205-024,01/01/2023,,Finished,2,200156,Dimitar Kuzmanov,196,116,match,0,2,WIN,7,7,1,5,7,0.714,12,14,0.857,2,0.042,0,0,48,33,0.688,32,56,0.571,65,104,0.625,0.688,21,33,0.636,12,15,0.8,3,3,1,5,7,0.714,18,31,0.581,14,25,0.56,10,6
Tennis Stats 2023 ATP Season,2023-205,United Cup,2023,12/29/2022,m,39,Hard,Outdoor,3,2023-205-025,01/02/2023,,Finished,1,200467,Arthur Rinderknech,44,145,match,0,2,LOSE,11,12,0.917,1,12,0.083,12,24,0.5,8,0.099,3,0.037,81,53,0.654,10,65,0.154,63,146,0.432,0.63,36,51,0.706,17,30,0.567,2,3,0.667,1,2,0.5,3,43,0.07,7,22,0.318,3,5
